task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b0/9796a8	29964	vcf_subfield_title (1)	CACHED	0	2022-10-06 13:54:21.159	3.6s	3.1s	40.3%	102.9 MB	219.8 MB	12.1 MB	3.1 KB
13	fd/bd7066	30248	fisher (10)	CACHED	0	2022-10-06 13:54:24.806	3.7s	3.2s	148.8%	130.1 MB	1.4 GB	16.2 MB	646 B
11	be/94545c	3978	fisher (8)	CACHED	0	2022-10-06 13:57:13.554	3.4s	3s	158.0%	136.8 MB	1.4 GB	16.2 MB	646 B
7	9d/6772a6	32302	fisher (4)	CACHED	0	2022-10-06 13:54:50.045	3.6s	3.1s	153.5%	135.6 MB	1.4 GB	16.2 MB	646 B
14	6d/f4d52c	2518	fisher (11)	CACHED	0	2022-10-06 13:56:56.124	3.5s	3.1s	156.5%	136.7 MB	1.4 GB	16.2 MB	646 B
6	2d/715582	1931	fisher (3)	CACHED	0	2022-10-06 13:56:48.814	3.7s	3.2s	148.0%	130.9 MB	1.4 GB	16.2 MB	646 B
10	13/b251b9	31716	fisher (7)	CACHED	0	2022-10-06 13:54:42.866	3.6s	3.1s	152.3%	132.3 MB	1.4 GB	16.2 MB	646 B
8	30/ebe965	31127	fisher (5)	CACHED	0	2022-10-06 13:54:35.665	3.6s	3.1s	150.9%	127 MB	1.4 GB	16.2 MB	646 B
16	fd/49def0	30540	fisher (13)	CACHED	0	2022-10-06 13:54:28.495	3.5s	3s	155.7%	136.1 MB	1.4 GB	16.2 MB	646 B
18	70/a5494a	3393	fisher (14)	CACHED	0	2022-10-06 13:57:06.513	3.5s	3s	156.0%	135.9 MB	1.4 GB	16.2 MB	646 B
15	7b/ecdb83	3101	fisher (12)	CACHED	0	2022-10-06 13:57:03.054	3.5s	2.9s	159.7%	137.9 MB	1.4 GB	16.2 MB	646 B
12	72/f0756c	30834	fisher (9)	CACHED	0	2022-10-06 13:54:32.036	3.6s	3.1s	151.6%	135.4 MB	1.4 GB	16.2 MB	646 B
9	e4/4362e3	32008	fisher (6)	CACHED	0	2022-10-06 13:54:46.472	3.6s	3.1s	152.9%	132.6 MB	1.4 GB	16.2 MB	646 B
5	c1/2ac029	2225	fisher (2)	CACHED	0	2022-10-06 13:56:52.525	3.6s	3.1s	152.4%	134.9 MB	1.4 GB	16.2 MB	646 B
4	e9/d7b2c1	32594	fisher (1)	CACHED	0	2022-10-06 13:54:53.664	1m 55s	1m 55s	57.2%	182.7 MB	1.4 GB	16.6 MB	13.1 MB
19	a0/557151	3685	fisher (16)	CACHED	0	2022-10-06 13:57:10.014	3.5s	3.1s	154.7%	135.9 MB	1.4 GB	16.2 MB	646 B
17	d1/db851d	31421	fisher (15)	CACHED	0	2022-10-06 13:54:39.274	3.6s	3.1s	150.7%	135.7 MB	1.4 GB	16.2 MB	646 B
24	17/ddc8cc	5437	fisher (21)	CACHED	0	2022-10-06 13:57:31.254	3.6s	3.1s	149.5%	135.5 MB	1.4 GB	16.2 MB	646 B
21	5d/c3e8fd	4561	fisher (18)	CACHED	0	2022-10-06 13:57:20.544	3.6s	3s	154.0%	135.7 MB	1.4 GB	16.2 MB	646 B
31	ec/2468b4	7189	fisher (28)	CACHED	0	2022-10-06 13:57:52.754	3.5s	3.1s	151.7%	132.5 MB	1.4 GB	16.2 MB	646 B
27	47/6d1521	6313	fisher (24)	CACHED	0	2022-10-06 13:57:42.074	3.6s	3.1s	147.7%	133.6 MB	1.4 GB	16.2 MB	646 B
23	cb/ad799c	5145	fisher (20)	CACHED	0	2022-10-06 13:57:27.704	3.5s	3.1s	153.2%	136 MB	1.4 GB	16.2 MB	646 B
22	71/31955f	4853	fisher (19)	CACHED	0	2022-10-06 13:57:24.154	3.5s	3.1s	154.5%	136.1 MB	1.4 GB	16.2 MB	646 B
29	a9/ff87d3	2809	fisher (26)	CACHED	0	2022-10-06 13:56:59.674	3.4s	2.9s	162.9%	137.1 MB	1.4 GB	16.2 MB	646 B
20	05/c8a725	4270	fisher (17)	CACHED	0	2022-10-06 13:57:16.993	3.5s	3.1s	151.2%	135.3 MB	1.4 GB	16.2 MB	646 B
26	4b/01dc81	5729	fisher (22)	CACHED	0	2022-10-06 13:57:34.854	3.6s	3.1s	152.0%	133 MB	1.4 GB	16.2 MB	646 B
28	15/a41382	6605	fisher (25)	CACHED	0	2022-10-06 13:57:45.734	3.5s	3s	157.3%	137 MB	1.4 GB	16.2 MB	646 B
30	be/d20a87	6898	fisher (27)	CACHED	0	2022-10-06 13:57:49.263	3.5s	3s	155.9%	135.8 MB	1.4 GB	16.2 MB	646 B
25	64/786fb5	6021	fisher (23)	CACHED	0	2022-10-06 13:57:38.424	3.6s	3.2s	146.4%	133.8 MB	1.4 GB	16.2 MB	646 B
34	cc/b5fc76	7490	tsv_compress (1)	CACHED	0	2022-10-06 13:57:57.115	892ms	358ms	66.1%	4.9 MB	10 MB	13.2 MB	1.1 MB
32	90/a76ff2	7636	tsv2vcf (1)	CACHED	0	2022-10-06 13:57:58.023	3.2s	2.8s	34.9%	7.5 MB	17.9 MB	28.1 MB	14.6 MB
1	42/7dc85d	8383	WorkflowVersion	COMPLETED	0	2022-10-06 13:59:59.943	1.3s	462ms	17.8%	4.8 MB	13.5 MB	185.9 KB	1.5 KB
3	c1/8c8dd3	8643	Backup	COMPLETED	0	2022-10-06 14:00:01.228	519ms	6ms	9.8%	0	0	152 KB	337 B
33	6d/b6d4ce	8770	miami_plot (1)	COMPLETED	0	2022-10-06 14:00:02.101	4.9s	4.4s	62.7%	180.2 MB	317.1 MB	27.3 MB	133.3 KB
