task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	3b/d18102	11839	vcf_subfield_title (1)	CACHED	0	2022-11-04 16:20:31.579	3.5s	3s	40.4%	103.1 MB	219.9 MB	12.1 MB	3.1 KB
5	17/0f9148	12124	fisher (2)	CACHED	0	2022-11-04 16:20:35.143	3.5s	3s	154.2%	136.6 MB	1.4 GB	16.2 MB	646 B
19	28/827bd6	12413	fisher (13)	CACHED	0	2022-11-04 16:20:38.669	3.5s	3s	157.0%	136.8 MB	1.4 GB	16.2 MB	646 B
1	99/439dda	13012	WorkflowVersion	COMPLETED	0	2022-11-04 16:20:51.403	1.1s	453ms	17.9%	3.6 MB	13.5 MB	185.9 KB	1.5 KB
3	9a/5b654f	13233	Backup	COMPLETED	0	2022-11-04 16:20:52.485	536ms	6ms	20.0%	0	0	152 KB	338 B
6	52/2c38de	13359	fisher (3)	COMPLETED	0	2022-11-04 16:20:53.030	3.5s	3s	155.5%	136 MB	1.4 GB	16.2 MB	646 B
8	55/559994	13649	fisher (5)	COMPLETED	0	2022-11-04 16:20:56.510	3.5s	3s	153.6%	134.9 MB	1.4 GB	16.2 MB	646 B
7	dc/c2eab9	13942	fisher (4)	COMPLETED	0	2022-11-04 16:20:59.980	3.5s	3s	155.7%	135.9 MB	1.4 GB	16.2 MB	646 B
13	1e/fd5994	14234	fisher (10)	COMPLETED	0	2022-11-04 16:21:03.482	3.6s	3.1s	149.3%	133.1 MB	1.4 GB	16.2 MB	646 B
10	7d/48d1cf	14527	fisher (7)	COMPLETED	0	2022-11-04 16:21:07.079	3.6s	3.2s	144.6%	131.3 MB	1.4 GB	16.2 MB	646 B
12	94/ea5f77	14820	fisher (9)	COMPLETED	0	2022-11-04 16:21:10.679	3.5s	3.1s	153.9%	136 MB	1.4 GB	16.2 MB	646 B
9	72/779535	15114	fisher (6)	COMPLETED	0	2022-11-04 16:21:14.179	3.5s	3s	155.1%	136.2 MB	1.4 GB	16.2 MB	646 B
11	d9/7e2d0e	15409	fisher (8)	COMPLETED	0	2022-11-04 16:21:17.688	3.4s	3s	154.6%	135.8 MB	1.4 GB	16.2 MB	646 B
17	06/09f270	15703	fisher (13)	COMPLETED	0	2022-11-04 16:21:21.138	3.5s	3.1s	149.8%	135.5 MB	1.4 GB	16.2 MB	646 B
16	7b/1bf59a	15996	fisher (14)	COMPLETED	0	2022-11-04 16:21:24.669	3.5s	3.1s	151.1%	139.5 MB	1.4 GB	16.2 MB	646 B
4	10/61ad6f	16289	fisher (1)	COMPLETED	0	2022-11-04 16:21:28.189	1m 54s	1m 53s	56.7%	178.7 MB	1.4 GB	16.6 MB	13.1 MB
18	fa/658eee	18094	fisher (15)	COMPLETED	0	2022-11-04 16:23:21.951	3.5s	3s	153.1%	136.3 MB	1.4 GB	16.2 MB	646 B
14	a8/0a235c	18388	fisher (11)	COMPLETED	0	2022-11-04 16:23:25.419	3.5s	3s	156.0%	135.2 MB	1.4 GB	16.2 MB	646 B
15	ee/dd0f79	18682	fisher (12)	COMPLETED	0	2022-11-04 16:23:28.920	3.5s	3s	155.3%	135.8 MB	1.4 GB	16.2 MB	646 B
20	73/b515a9	18975	fisher (17)	COMPLETED	0	2022-11-04 16:23:32.390	3.5s	3s	156.3%	135.6 MB	1.4 GB	16.2 MB	646 B
21	05/3831aa	19268	fisher (18)	COMPLETED	0	2022-11-04 16:23:35.891	3.5s	3.1s	149.1%	135.6 MB	1.4 GB	16.2 MB	646 B
22	94/c16c25	19561	fisher (19)	COMPLETED	0	2022-11-04 16:23:39.429	3.6s	3.1s	150.7%	135.5 MB	1.4 GB	16.2 MB	646 B
23	2b/a27946	19855	fisher (20)	COMPLETED	0	2022-11-04 16:23:43.009	3.5s	3s	153.3%	136.6 MB	1.4 GB	16.2 MB	646 B
25	29/3f925b	20148	fisher (22)	COMPLETED	0	2022-11-04 16:23:46.509	3.5s	3s	154.4%	135.9 MB	1.4 GB	16.2 MB	646 B
24	85/8c0cf7	20440	fisher (21)	COMPLETED	0	2022-11-04 16:23:49.999	3.5s	3.1s	150.7%	136.2 MB	1.4 GB	16.2 MB	646 B
26	91/bdc450	20733	fisher (23)	COMPLETED	0	2022-11-04 16:23:53.548	3.5s	3s	154.0%	135.4 MB	1.4 GB	16.2 MB	646 B
27	e1/be1d29	21026	fisher (24)	COMPLETED	0	2022-11-04 16:23:57.097	3.5s	3s	152.8%	135.9 MB	1.4 GB	16.2 MB	646 B
28	68/3f0978	21319	fisher (25)	COMPLETED	0	2022-11-04 16:24:00.559	3.5s	3s	155.1%	136 MB	1.4 GB	16.2 MB	646 B
29	84/3dec27	21612	fisher (26)	COMPLETED	0	2022-11-04 16:24:04.018	3.4s	3s	156.8%	135.9 MB	1.4 GB	16.2 MB	646 B
30	47/88cf99	21905	fisher (27)	COMPLETED	0	2022-11-04 16:24:07.408	3.5s	3s	155.2%	136.1 MB	1.4 GB	16.2 MB	646 B
31	94/f91af0	22198	fisher (28)	COMPLETED	0	2022-11-04 16:24:10.928	3.4s	2.9s	157.8%	137.2 MB	1.4 GB	16.2 MB	646 B
33	5c/3c2a26	22501	tsv_compress (1)	COMPLETED	0	2022-11-04 16:24:15.084	797ms	353ms	67.5%	5 MB	10 MB	13.2 MB	1.1 MB
34	f0/b2c43f	22649	tsv2vcf (1)	COMPLETED	0	2022-11-04 16:24:15.888	3s	2.5s	31.7%	7.4 MB	17.9 MB	28.1 MB	14.6 MB
32	9a/ba59a6	22913	miami_plot (1)	COMPLETED	0	2022-11-04 16:24:18.897	4.8s	4.3s	63.4%	177.6 MB	313.8 MB	27.3 MB	60.4 KB
