CHR	BP_LENGTH	LENGTH_CUMUL	LENGTH_CUMUL_TO_ADD	CHR_NAME_POS	CHR_NAME	CHR_NB
chr1	249250621	249250621	0	124625310.5	1	1
chr2	243199373	492449994	249250621	370850307.5	2	2
chr3	198022430	690472424	492449994	591461209	3	3
chr4	191154276	881626700	690472424	786049562	4	4
chr5	180915260	1062541960	881626700	972084330	5	5
chr6	171115067	1233657027	1062541960	1148099494	6	6
chr7	159138663	1392795690	1233657027	1313226359	7	7
chr8	146364022	1539159712	1392795690	1465977701	8	8
chr9	141213431	1680373143	1539159712	1609766428	9	9
chr10	135534747	1815907890	1680373143	1748140517	10	10
chr11	135006516	1950914406	1815907890	1883411148	11	11
chr12	133851895	2084766301	1950914406	2017840354	12	12
chr13	115169878	2199936179	2084766301	2142351240	13	13
chr14	107349540	2307285719	2199936179	2253610949	14	14
chr15	102531392	2409817111	2307285719	2358551415	15	15
chr16	90354753	2500171864	2409817111	2454994488	16	16
chr17	81195210	2581367074	2500171864	2540769469	17	17
chr18	78077248	2659444322	2581367074	2620405698	18	18
chr19	59128983	2718573305	2659444322	2689008814	19	19
chr20	63025520	2781598825	2718573305	2750086065	20	20
chr21	48129895	2829728720	2781598825	2805663773	21	21
chr22	51304566	2881033286	2829728720	2855381003	22	22
chrX	155270560	3036303846	2881033286	2958668566	X	23
chrY	59373566	3095677412	3036303846	3065990629	Y	24
chrM	16571	3095693983	3095677412	3095677412	M	25
